"","series_markedness_fullness"
"lega1249",8.48417584393789
"legb1242",7.59318825753399
"lele1264",8.42462786200077
"lele1266",7.7298173359347
"lele1276",3.52236938807372
"lena1238",1.00085856211314
"lend1245",2.56201009149984
"leng1258",6.90601070981513
"lepc1244",3.26589313628207
"lese1243",3.03885161537814
"leti1246",1.33862576747974
"lezg1247",5.02921185357263
"libe1247",7.95346911286001
"liby1240",2.46367876045917
"ligb1244",8.08412809791428
"ligu1248",6.40091767961994
"liji1238",7.36731037070088
"lika1243",6.80127172324264
"limb1268",7.21324539608098
"lish1246",3.86768658323397
"lisu1250",3.1118619664007
"lith1251",5.13669764544946
"lizu1234",2.91684854653978
"logb1245",8.35735208626591
"logo1259",2.42169176271272
"loko1255",8.11394312242269
"loma1260",7.88532617412739
"long1387",7.73651281292885
"loni1238",1.42985746460254
"loth1237",1.87054784266302
"lowa1242",4.90605161408038
"lowe1385",5.27039935334736
"lowe1415",7.20972626009813
"loxi1235",5.10735772181842
"luch1239",7.85308609719098
"lugb1240",2.61791345279237
"lukp1238",8.02704907371061
"lumu1239",1.77291734427852
"lund1266",7.47302985844951
"luok1236",8.2824362765016
"lush1249",2.7692657946399
"lusi1240",1.87892468394324
"luuu1242",6.58710045259129
"luva1239",7.47521138338145
"luwo1239",8.41532793938256
"luxe1241",5.86331259179532
"luya1241",7.28188687790378
"lyel1241",8.60637996895582
"maas1239",7.44846637178067
"maay1238",3.8400627307675
"maba1273",8.0659804358189
"maba1277",2.27876547783519
"maca1259",6.25225390504184
"maca1260",4.19351452005326
"mace1250",5.05497910472428
"mach1266",7.78196307956582
"mach1267",5.32874628628178
"mach1268",5.75309413557468
"macu1259",6.62550501783648
"macu1260",4.94248047819761
"mada1282",6.77131914982199
"mada1293",3.39782158068008
"madi1260",1.6898241583315
"madn1237",9.27215171310682
"mafe1237",1.90815826083422
"maga1260",5.73155246735783
"mait1250",6.4731183175206
"maka1304",7.02938440335271
"maka1311",1.38642124706745
"mako1251",7.82241268381037
"maku1278",3.39500653898028
"mala1464",4.62869247953519
"mala1522",6.17278137379391
"mall1246",4.42681061428176
"malo1243",1.27469001404602
"malt1254",2.53424374152047
"mama1271",9.75091145322662
"mama1278",4.94882346777875
"mamb1294",7.7533946035482
"mamb1296",7.38595594118712
"mamm1241",3.66366418883698
"mamp1244",7.47853637361936
"mana1288",4.30743804715276
"mana1295",1.71450190916341
"manc1252",6.01899517965647
"mand1415",2.9505594321077
"mand1436",8.02514424201365
"mang1381",5.01835738349846
"mang1382",7.6144282177186
"mang1394",1.56312227343863
"mani1292",1.6528542940028
"mann1248",8.23643958930629
"mans1258",2.15072907916042
"many1261",7.86942094806994
"maon1238",1.96677144328989
"maor1246",1.36000006841544
"mapo1246",7.0148478702425
"mapu1245",5.1842851125257
"maqu1238",6.3244874775519
"mara1378",5.51039675423708
"mara1385",5.04205732183867
"mara1386",4.9032308410962
"mara1404",1.97086102267436
"marg1251",4.28039330637892
"marg1253",9.93641252190637
"marg1265",3.70594367344789
"mari1417",5.1632129700718
"mari1419",4.98166353895688
"mari1424",5.18945678800804
"mart1254",5.38136568422264
"mart1255",7.89444176197131
"marw1260",5.33515637781535
"masa1299",7.41443862925002
"matb1237",2.79941156374932
"mati1255",7.3356105219896
"mats1244",6.32471839621321
"matu1259",7.36803487310573
"maun1240",6.28743547428317
"mawa1270",4.39233859057895
"maxa1247",5.3835607606988
"maya1280",9.68230766463558
"mayo1261",7.98295982689247
"maza1291",4.82905152050297
"mbaa1245",8.84047633299537
"mbal1255",8.02309115323837
"mbar1253",9.8616311132056
"mbay1241",1.43292406359123
"mbee1249",7.33805620788668
"mboc1235",8.0178016563076
"mbuk1240",7.29486061549913
"mbuk1243",3.36336643170674
"mbum1254",8.33678085436854
"mbuu1238",9.3666994885032
"mbya1239",4.24350764082378
"medu1238",7.47953497600136
"meen1242",2.35687273582475
"mehi1240",4.61075164034147
"mehr1241",4.39857641215477
